"","ProbabilityThreshold","Species","Life_Stage","Hydraulic","Node","Scenario","Position","QTarget","HTarget","Calculation"
"1","Low","Chub","Adult","Depth","I01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",7.77,37.6578354464183,"Q >= newx1Low"
"2","Low","Chub","Adult","Depth","I01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q >= newx1Low"
"3","Med","Chub","Adult","Depth","I01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",13.67,53.1893009692077,"Q >= newx1Med"
"4","Med","Chub","Adult","Depth","I01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q >= newx1Med"
"5","High","Chub","Adult","Depth","I01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",20.94,68.7297925591359,"Q >= newx1High"
"6","High","Chub","Adult","Depth","I01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q >= newx1High"
"7","Low","Chub","Adult","Velocity","I01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",0.52,1.02597162496799,"Q >= min_limit & Q <= newx1Low"
"8","Low","Chub","Adult","Velocity","I01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q >= min_limit & Q <= newx1Low"
"9","Med","Chub","Adult","Velocity","I01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",0.1,0.129694102093691,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"10","Med","Chub","Adult","Velocity","I01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",0.42,0.872194445710139,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"11","High","Chub","Adult","Velocity","I01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",0.13,0.261772279496538,"Q >= newx1High[1] & Q <= newx1High[2]"
"12","High","Chub","Adult","Velocity","I01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",0.35,0.740116164744,"Q >= newx1High[1] & Q <= newx1High[2]"
"13","Low","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",12.46,37.6363324807959,"Q >= newx1Low"
"14","Low","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",1.72,37.6583441513069,"Q >= newx1Low"
"15","Low","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",13.37,37.6556879275801,"Q >= newx1Low"
"16","Low","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice1",NA,NA,"Q >= newx1Low"
"17","Low","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= newx1Low"
"18","Low","Chub","Adult","Depth","I01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= newx1Low"
