"","ProbabilityThreshold","Species","Life_Stage","Hydraulic","Node","Position","Lower","Upper"
"1","Low","Chub","Adult","Velocity","K01-011","slice2",0.34,0.16
"2","Med","Chub","Adult","Velocity","K01-011","slice2",0.26,0.11
"3","High","Chub","Adult","Velocity","K01-011","slice2",0.08,0.04
"4","Low","Chub","Adult","Velocity","L02-031","slice4",4.09,1.09
"5","Med","Chub","Adult","Velocity","L02-031","slice4",1.71,0.49
"6","Low","Chub","Adult","Velocity","L02-040","slice4",0.42,0.34
"7","Med","Chub","Adult","Velocity","L04-010","slice2",0.86,0.69
"8","Med","Chub","Adult","Velocity","M01-020","slice2",0.24,0.19
"9","Low","Chub","Adult","Velocity","J01-030","slice3",0.19,0.13
"10","Med","Chub","Adult","Velocity","J01-040","slice4",5.11,4.62
"11","Low","Chub","Adult","Depth","I01-012","slice2",1.35,NA
"12","Med","Chub","Adult","Depth","I01-012","slice2",2.69,NA
"13","High","Chub","Adult","Depth","I01-012","slice2",4.52,NA
"14","Low","Chub","Adult","Depth","I01-020","slice2",1.15,NA
"15","Low","Chub","Adult","Depth","K01-010","slice3",1.75,NA
"16","Med","Chub","Adult","Depth","K01-010","slice3",4.17,NA
"17","High","Chub","Adult","Depth","K01-010","slice3",8.54,NA
"18","Low","Chub","Adult","Depth","K01-011","slice2",1.04,NA
"19","Med","Chub","Adult","Depth","K01-011","slice2",3.17,NA
"20","Low","Chub","Adult","Depth","K01-020","slice2",1.9,NA
"21","Med","Chub","Adult","Depth","K01-020","slice2",3.86,NA
"22","High","Chub","Adult","Depth","K01-020","slice2",6.58,NA
"23","Low","Chub","Adult","Depth","K01-030","slice2",2.17,NA
"24","Med","Chub","Adult","Depth","K01-030","slice2",4.65,NA
"25","High","Chub","Adult","Depth","K01-030","slice2",8.17,NA
"26","Low","Chub","Adult","Depth","L01-080","slice3",2.07,NA
"27","Med","Chub","Adult","Depth","L01-080","slice3",5.39,NA
"28","High","Chub","Adult","Depth","L01-080","slice3",10.29,NA
"29","Low","Chub","Adult","Depth","L01-100","slice3",12.22,NA
"30","Med","Chub","Adult","Depth","L01-100","slice3",30.15,NA
"31","Low","Chub","Adult","Depth","L02-010","slice2",11.01,NA
"32","Med","Chub","Adult","Depth","L02-010","slice2",24.38,NA
"33","Low","Chub","Adult","Depth","L02-020","slice1",1.84,NA
"34","Med","Chub","Adult","Depth","L02-020","slice1",4.11,NA
"35","High","Chub","Adult","Depth","L02-020","slice1",7.74,NA
"36","Low","Chub","Adult","Depth","L02-021","slice3",1.29,NA
"37","Med","Chub","Adult","Depth","L02-021","slice3",2.65,NA
"38","High","Chub","Adult","Depth","L02-021","slice3",4.52,NA
"39","Low","Chub","Adult","Depth","L02-022","slice2",15.78,NA
"40","Med","Chub","Adult","Depth","L02-022","slice2",35.99,NA
"41","High","Chub","Adult","Depth","L02-022","slice2",68.36,NA
"42","Low","Chub","Adult","Depth","L02-023","slice4",2.38,NA
"43","Med","Chub","Adult","Depth","L02-023","slice4",4.86,NA
"44","High","Chub","Adult","Depth","L02-023","slice4",8.34,NA
"45","Low","Chub","Adult","Depth","L02-030","slice2",4.35,NA
"46","Med","Chub","Adult","Depth","L02-030","slice2",10.86,NA
"47","High","Chub","Adult","Depth","L02-030","slice2",21.6,NA
"48","Low","Chub","Adult","Depth","L02-031","slice4",2.6,NA
"49","Med","Chub","Adult","Depth","L02-031","slice4",6.72,NA
"50","High","Chub","Adult","Depth","L02-031","slice4",14.22,NA
"51","Low","Chub","Adult","Depth","L02-040","slice4",2.94,NA
"52","Med","Chub","Adult","Depth","L02-040","slice4",8.28,NA
"53","High","Chub","Adult","Depth","L02-040","slice4",18.08,NA
"54","Low","Chub","Adult","Depth","L02-041","slice2",1.37,NA
"55","Med","Chub","Adult","Depth","L02-041","slice2",4.12,NA
"56","High","Chub","Adult","Depth","L02-041","slice2",8.86,NA
"57","Low","Chub","Adult","Depth","L02-050","slice2",2.4,NA
"58","Med","Chub","Adult","Depth","L02-050","slice2",4.73,NA
"59","High","Chub","Adult","Depth","L02-050","slice2",7.82,NA
"60","Low","Chub","Adult","Depth","L02-051","slice2",2.18,NA
"61","Med","Chub","Adult","Depth","L02-051","slice2",4.45,NA
"62","High","Chub","Adult","Depth","L02-051","slice2",7.46,NA
"63","Low","Chub","Adult","Depth","L03-010","slice2",2.49,NA
"64","Med","Chub","Adult","Depth","L03-010","slice2",6.11,NA
"65","High","Chub","Adult","Depth","L03-010","slice2",11.33,NA
"66","Low","Chub","Adult","Depth","L03-011","slice1",0.48,NA
"67","Med","Chub","Adult","Depth","L03-011","slice1",1.03,NA
"68","High","Chub","Adult","Depth","L03-011","slice1",1.98,NA
"69","Low","Chub","Adult","Depth","L03-020","slice2",2.64,NA
"70","Med","Chub","Adult","Depth","L03-020","slice2",6.15,NA
"71","High","Chub","Adult","Depth","L03-020","slice2",11.48,NA
"72","Low","Chub","Adult","Depth","L04-010","slice2",0.9,NA
"73","Med","Chub","Adult","Depth","L04-010","slice2",2.13,NA
"74","High","Chub","Adult","Depth","L04-010","slice2",4.28,NA
"75","Low","Chub","Adult","Depth","L05-010","slice2",0.85,NA
"76","Med","Chub","Adult","Depth","L05-010","slice2",1.85,NA
"77","High","Chub","Adult","Depth","L05-010","slice2",3.31,NA
"78","Low","Chub","Adult","Depth","L05-020","slice3",1.44,NA
"79","Med","Chub","Adult","Depth","L05-020","slice3",4.09,NA
"80","High","Chub","Adult","Depth","L05-020","slice3",7.97,NA
"81","Low","Chub","Adult","Depth","M01-011","slice2",2.25,NA
"82","Med","Chub","Adult","Depth","M01-011","slice2",4.91,NA
"83","High","Chub","Adult","Depth","M01-011","slice2",8.63,NA
"84","Low","Chub","Adult","Depth","M01-020","slice2",1.63,NA
"85","Low","Chub","Adult","Depth","M02-011","slice3",2.69,NA
"86","Med","Chub","Adult","Depth","M02-011","slice3",5.55,NA
"87","High","Chub","Adult","Depth","M02-011","slice3",9.59,NA
"88","Low","Chub","Adult","Depth","M02-020","slice2",2.14,NA
"89","Med","Chub","Adult","Depth","M02-020","slice2",6,NA
"90","High","Chub","Adult","Depth","M02-020","slice2",13.26,NA
"91","Low","Chub","Adult","Depth","J01-010","slice2",4.5,NA
"92","Med","Chub","Adult","Depth","J01-010","slice2",9.71,NA
"93","High","Chub","Adult","Depth","J01-010","slice2",16.62,NA
"94","Low","Chub","Adult","Depth","J01-020","slice3",1.37,NA
"95","Med","Chub","Adult","Depth","J01-020","slice3",3.42,NA
"96","High","Chub","Adult","Depth","J01-020","slice3",7.04,NA
"97","Low","Chub","Adult","Depth","J01-030","slice3",2.59,NA
"98","Med","Chub","Adult","Depth","J01-030","slice3",5.72,NA
"99","High","Chub","Adult","Depth","J01-030","slice3",10,NA
"100","Low","Chub","Adult","Depth","J01-031","slice2",2.03,NA
"101","Med","Chub","Adult","Depth","J01-031","slice2",4.72,NA
"102","High","Chub","Adult","Depth","J01-031","slice2",9.34,NA
"103","Low","Chub","Adult","Depth","J01-040","slice4",1.32,NA
"104","Med","Chub","Adult","Depth","J01-040","slice4",2.9,NA
"105","High","Chub","Adult","Depth","J01-040","slice4",5.01,NA
"106","Low","Chub","Adult","Depth","J01-041","slice2",2.42,NA
"107","Med","Chub","Adult","Depth","J01-041","slice2",5.15,NA
"108","High","Chub","Adult","Depth","J01-041","slice2",8.86,NA
"109","Low","Chub","Adult","Depth","J01-060","slice2",1.91,NA
"110","Med","Chub","Adult","Depth","J01-060","slice2",4.56,NA
"111","High","Chub","Adult","Depth","J01-060","slice2",8.3,NA
"112","Low","Chub","Adult","Depth","J01-061","slice2",1.29,NA
"113","Med","Chub","Adult","Depth","J01-061","slice2",2.51,NA
"114","High","Chub","Adult","Depth","J01-061","slice2",4.09,NA
"115","Low","Chub","Adult","Depth","J01-090","slice2",1.76,NA
"116","Med","Chub","Adult","Depth","J01-090","slice2",3.42,NA
"117","High","Chub","Adult","Depth","J01-090","slice2",5.56,NA
"118","Low","Chub","Adult","Depth","J01-091","slice2",6.7,NA
"119","Med","Chub","Adult","Depth","J01-091","slice2",13.51,NA
"120","Low","Chub","Adult","Depth","J01-100","slice2",5.87,NA
"121","Med","Chub","Adult","Depth","J01-100","slice2",11.83,NA
"122","High","Chub","Adult","Depth","J01-100","slice2",19.63,NA
"123","Low","Chub","Adult","Depth","J03-010","slice2",1.16,NA
"124","Med","Chub","Adult","Depth","J03-010","slice2",2.61,NA
"125","High","Chub","Adult","Depth","J03-010","slice2",4.7,NA
