"","Node","LifeStage","Metric","Current","Water Conservation"
"1","I01-012","Adult","DS_Mag_50","Low","Low"
"2","I01-012","Adult","Wet_BFL_Mag_10","High","High"
"3","I01-020","Adult","DS_Mag_50","Low","Low"
"4","I01-020","Adult","Wet_BFL_Mag_10","Low","Low"
"5","J01-010","Adult","DS_Mag_50","Low","Low"
"6","J01-010","Adult","Wet_BFL_Mag_10","Low","Low"
"7","J01-020","Adult","DS_Mag_50","High","High"
"8","J01-020","Adult","Wet_BFL_Mag_10","High","High"
"9","J01-030","Adult","DS_Mag_50","High","High"
"10","J01-030","Adult","Wet_BFL_Mag_10","High","High"
"11","J01-031","Adult","DS_Mag_50","Low","Low"
"12","J01-031","Adult","Wet_BFL_Mag_10","Low","Low"
"13","J01-040","Adult","DS_Mag_50","Partial","High"
"14","J01-040","Adult","Wet_BFL_Mag_10","Low","Partial"
"15","J01-041","Adult","DS_Mag_50","High","High"
"16","J01-041","Adult","Wet_BFL_Mag_10","High","High"
"17","J01-060","Adult","DS_Mag_50","High","High"
"18","J01-060","Adult","Wet_BFL_Mag_10","High","High"
"19","J01-061","Adult","DS_Mag_50","Partial","Partial"
"20","J01-061","Adult","Wet_BFL_Mag_10","High","High"
"21","J01-090","Adult","DS_Mag_50","Low","Low"
"22","J01-090","Adult","Wet_BFL_Mag_10","Partial","Low"
"23","J01-091","Adult","DS_Mag_50","Low","High"
"24","J01-091","Adult","Wet_BFL_Mag_10","Low","High"
"25","J01-100","Adult","DS_Mag_50","High","High"
"26","J01-100","Adult","Wet_BFL_Mag_10","Partial","High"
"27","J03-010","Adult","DS_Mag_50","High","High"
"28","J03-010","Adult","Wet_BFL_Mag_10","High","High"
"29","J04-010","Adult","DS_Mag_50","High","High"
"30","J04-010","Adult","Wet_BFL_Mag_10","High","High"
"31","J05-010","Adult","DS_Mag_50","Partial","High"
"32","J05-010","Adult","Wet_BFL_Mag_10","High","High"
"33","J07-010","Adult","DS_Mag_50","Low","Low"
"34","J07-010","Adult","Wet_BFL_Mag_10","Low","Low"
"35","K01-010","Adult","DS_Mag_50","High","High"
"36","K01-010","Adult","Wet_BFL_Mag_10","High","High"
"37","K01-011","Adult","DS_Mag_50","High","High"
"38","K01-011","Adult","Wet_BFL_Mag_10","High","High"
"39","K01-020","Adult","DS_Mag_50","Partial","Low"
"40","K01-020","Adult","Wet_BFL_Mag_10","High","Low"
"41","K01-030","Adult","DS_Mag_50","High","High"
"42","K01-030","Adult","Wet_BFL_Mag_10","High","High"
"43","L01-080","Adult","DS_Mag_50","High","High"
"44","L01-080","Adult","Wet_BFL_Mag_10","High","High"
"45","L01-100","Adult","DS_Mag_50","Low","Low"
"46","L01-100","Adult","Wet_BFL_Mag_10","Low","Low"
"47","L02-010","Adult","DS_Mag_50","Low","Low"
"48","L02-010","Adult","Wet_BFL_Mag_10","High","High"
"49","L02-020","Adult","DS_Mag_50","High","High"
"50","L02-020","Adult","Wet_BFL_Mag_10","High","High"
"51","L02-021","Adult","DS_Mag_50","High","High"
"52","L02-021","Adult","Wet_BFL_Mag_10","High","High"
"53","L02-022","Adult","DS_Mag_50","High","High"
"54","L02-022","Adult","Wet_BFL_Mag_10","High","High"
"55","L02-023","Adult","DS_Mag_50","High","High"
"56","L02-023","Adult","Wet_BFL_Mag_10","High","High"
"57","L02-030","Adult","DS_Mag_50","High","High"
"58","L02-030","Adult","Wet_BFL_Mag_10","High","High"
"59","L02-031","Adult","DS_Mag_50","High","High"
"60","L02-031","Adult","Wet_BFL_Mag_10","High","High"
"61","L02-040","Adult","DS_Mag_50","High","High"
"62","L02-040","Adult","Wet_BFL_Mag_10","High","High"
"63","L02-041","Adult","DS_Mag_50","High","High"
"64","L02-041","Adult","Wet_BFL_Mag_10","High","High"
"65","L02-050","Adult","DS_Mag_50","Partial","Low"
"66","L02-050","Adult","Wet_BFL_Mag_10","Partial","Partial"
"67","L02-051","Adult","DS_Mag_50","Partial","Low"
"68","L02-051","Adult","Wet_BFL_Mag_10","Partial","Partial"
"69","L03-010","Adult","DS_Mag_50","Low","Low"
"70","L03-010","Adult","Wet_BFL_Mag_10","Low","Low"
"71","L03-011","Adult","DS_Mag_50","High","High"
"72","L03-011","Adult","Wet_BFL_Mag_10","High","High"
"73","L03-020","Adult","DS_Mag_50","High","High"
"74","L03-020","Adult","Wet_BFL_Mag_10","High","High"
"75","L03-030","Adult","DS_Mag_50","High","High"
"76","L03-030","Adult","Wet_BFL_Mag_10","High","High"
"77","L04-010","Adult","DS_Mag_50","High","High"
"78","L04-010","Adult","Wet_BFL_Mag_10","High","High"
"79","L05-010","Adult","DS_Mag_50","High","High"
"80","L05-010","Adult","Wet_BFL_Mag_10","High","High"
"81","L05-020","Adult","DS_Mag_50","High","High"
"82","L05-020","Adult","Wet_BFL_Mag_10","High","High"
"83","M01-011","Adult","DS_Mag_50","High","High"
"84","M01-011","Adult","Wet_BFL_Mag_10","High","High"
"85","M01-020","Adult","DS_Mag_50","High","High"
"86","M01-020","Adult","Wet_BFL_Mag_10","High","High"
"87","M02-011","Adult","DS_Mag_50","High","High"
"88","M02-011","Adult","Wet_BFL_Mag_10","High","High"
"89","M02-020","Adult","DS_Mag_50","High","High"
"90","M02-020","Adult","Wet_BFL_Mag_10","High","High"
"91","I01-012","Adult & Seedling","SP_Mag","Low","Low"
"92","I01-020","Adult & Seedling","SP_Mag","Low","Low"
"93","J01-010","Adult & Seedling","SP_Mag","High","High"
"94","J01-020","Adult & Seedling","SP_Mag","High","High"
"95","J01-030","Adult & Seedling","SP_Mag","Low","High"
"96","J01-031","Adult & Seedling","SP_Mag","Low","Low"
"97","J01-040","Adult & Seedling","SP_Mag","High","High"
"98","J01-041","Adult & Seedling","SP_Mag","High","High"
"99","J01-060","Adult & Seedling","SP_Mag","High","High"
"100","J01-061","Adult & Seedling","SP_Mag","High","High"
"101","J01-090","Adult & Seedling","SP_Mag","Low","Low"
"102","J01-091","Adult & Seedling","SP_Mag","Low","Low"
"103","J01-100","Adult & Seedling","SP_Mag","High","Low"
"104","J03-010","Adult & Seedling","SP_Mag","High","Low"
"105","J04-010","Adult & Seedling","SP_Mag","High","High"
"106","J05-010","Adult & Seedling","SP_Mag","Low","High"
"107","J07-010","Adult & Seedling","SP_Mag","Low","Low"
"108","K01-010","Adult & Seedling","SP_Mag","Low","Low"
"109","K01-011","Adult & Seedling","SP_Mag","Low","Low"
"110","K01-020","Adult & Seedling","SP_Mag","Low","Low"
"111","K01-030","Adult & Seedling","SP_Mag","Low","Low"
"112","L01-080","Adult & Seedling","SP_Mag","High","High"
"113","L01-100","Adult & Seedling","SP_Mag","Low","Low"
"114","L02-010","Adult & Seedling","SP_Mag","Low","Low"
"115","L02-020","Adult & Seedling","SP_Mag","Low","Low"
"116","L02-021","Adult & Seedling","SP_Mag","Low","Low"
"117","L02-022","Adult & Seedling","SP_Mag","Low","Low"
"118","L02-023","Adult & Seedling","SP_Mag","Low","Low"
"119","L02-030","Adult & Seedling","SP_Mag","Low","Low"
"120","L02-031","Adult & Seedling","SP_Mag","Low","Low"
"121","L02-040","Adult & Seedling","SP_Mag","Low","Low"
"122","L02-041","Adult & Seedling","SP_Mag","Low","Low"
"123","L02-050","Adult & Seedling","SP_Mag","High","High"
"124","L02-051","Adult & Seedling","SP_Mag","High","High"
"125","L03-010","Adult & Seedling","SP_Mag","Low","Low"
"126","L03-011","Adult & Seedling","SP_Mag","High","High"
"127","L03-020","Adult & Seedling","SP_Mag","High","High"
"128","L03-030","Adult & Seedling","SP_Mag","High","High"
"129","L04-010","Adult & Seedling","SP_Mag","Low","Low"
"130","L05-010","Adult & Seedling","SP_Mag","High","High"
"131","L05-020","Adult & Seedling","SP_Mag","High","High"
"132","M01-011","Adult & Seedling","SP_Mag","High","High"
"133","M01-020","Adult & Seedling","SP_Mag","High","High"
"134","M02-011","Adult & Seedling","SP_Mag","Low","Low"
"135","M02-020","Adult & Seedling","SP_Mag","Low","Low"
